"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Sep 18 07:16:16 GMT 2024","Wed Sep 18 07:16:17 GMT 2024","267","tests","create_users_test","TestCreateUser","","","1.4.2 Check key value namein response",""
"passed","Wed Sep 18 07:16:17 GMT 2024","Wed Sep 18 07:16:18 GMT 2024","276","tests","create_users_test","TestCreateUser","","","2.1 GET Send request get with body",""
"passed","Wed Sep 18 07:16:15 GMT 2024","Wed Sep 18 07:16:15 GMT 2024","494","tests","create_users_test","TestCreateUser","","","1.1 POST Create user",""
"skipped","Wed Sep 18 07:16:16 GMT 2024","Wed Sep 18 07:16:16 GMT 2024","275","tests","create_users_test","TestCreateUser","","","1.3.4 Check response has key job",""
"skipped","Wed Sep 18 07:16:18 GMT 2024","Wed Sep 18 07:16:19 GMT 2024","275","tests","create_users_test","TestCreateUser","","","2.5 POST Create user with None job",""
"skipped","Wed Sep 18 07:16:17 GMT 2024","Wed Sep 18 07:16:17 GMT 2024","270","tests","create_users_test","TestCreateUser","","","1.4.1 Check key value jobin response",""
"skipped","Wed Sep 18 07:16:18 GMT 2024","Wed Sep 18 07:16:18 GMT 2024","279","tests","create_users_test","TestCreateUser","","","2.2 POST Create user without request body",""
"passed","Wed Sep 18 07:16:15 GMT 2024","Wed Sep 18 07:16:16 GMT 2024","279","tests","create_users_test","TestCreateUser","","","1.3.1 Check response has key id",""
"passed","Wed Sep 18 07:16:16 GMT 2024","Wed Sep 18 07:16:16 GMT 2024","280","tests","create_users_test","TestCreateUser","","","1.3.2 Check response has key createdAt",""
"passed","Wed Sep 18 07:16:15 GMT 2024","Wed Sep 18 07:16:15 GMT 2024","283","tests","create_users_test","TestCreateUser","","","1.2 Check format is json",""
"skipped","Wed Sep 18 07:16:16 GMT 2024","Wed Sep 18 07:16:16 GMT 2024","260","tests","create_users_test","TestCreateUser","","","1.3.3 Check response has key name",""
"skipped","Wed Sep 18 07:16:18 GMT 2024","Wed Sep 18 07:16:18 GMT 2024","281","tests","create_users_test","TestCreateUser","","","2.4 POST Create user without name",""
"skipped","Wed Sep 18 07:16:19 GMT 2024","Wed Sep 18 07:16:19 GMT 2024","73","tests","create_users_test","TestCreateUser","","","2.8 POST Create user get to http",""
"skipped","Wed Sep 18 07:16:19 GMT 2024","Wed Sep 18 07:16:19 GMT 2024","286","tests","create_users_test","TestCreateUser","","","2.7 POST Create user as {0}",""
"skipped","Wed Sep 18 07:16:18 GMT 2024","Wed Sep 18 07:16:18 GMT 2024","271","tests","create_users_test","TestCreateUser","","","2.3 POST Create user without job",""
"passed","Wed Sep 18 07:16:17 GMT 2024","Wed Sep 18 07:16:17 GMT 2024","265","tests","create_users_test","TestCreateUser","","","1.5 POST Create user response is not empty",""
"skipped","Wed Sep 18 07:16:19 GMT 2024","Wed Sep 18 07:16:19 GMT 2024","273","tests","create_users_test","TestCreateUser","","","2.6 POST Create user with None name",""
